Level, Branch, Bus1, Bus2, Distance
0, Line.mdv201_connector, _mdv_sub_1_lsb, mdv201,     0.0010
1, Line.mdv201_hn_2_793_abc1023346_sw, mdv201, mdv201_hn_2_793_abc1023346_int,     0.0020
2, Line.mdv201_hn_2_793_abc1023346, mdv201_hn_2_793_abc1023346_int, 1023346,     0.0477
3, Line.sw-hn_2_793_sw, 1023346, mdv201_796usd_int,     0.0487
4, Line.mdv201_796usd, mdv201_796usd_int, 796,     0.0502
5, Line.mdv202_osw_796, mdv202_osw_796_int, 796,     0.0518
5, Line.mdv201_hn_2_794_abc791, 796, 791,     0.1100
6, Line.mdv201_hn_2_795_abc788, 791, 788,     0.1767
7, Line.mdv201_hn_2_796_abc782, 788, 782,     0.2447
8, Line.mdv201_hn_2_808_abc783, 782, 783,     0.3020
9, Line.mdv201_hn_2_809_abc861, 783, 861,     0.3605
10, Line.mdv201_hn_2_810_abc63685, 861, 63685,     0.4340
11, Line.mdv201_hn_2_811_abc63638, 63685, 63638,     0.5279
12, Line.mdv201_hn_2_436_abc63639, 63638, 63639,     0.5702
13, Transformer.mdv201_hn_2_436_abc63639-1b, 63639.2, x_63639.2,     0.5702
14, Line.s_mdv201_hn_2_436_abc63639-1b0, x_63639.2, x_63639_1.2,     0.6007
-1, Load.mdv201_hn_2_436_abc63639-1b0, x_63639_1.2
13, Line.mdv201_hn_2_435_abc63643, 63639, 63643,     0.6309
14, Transformer.mdv201_hn_2_435_abc63643-1b, 63643.2, x_63643.2,     0.6309
15, Line.s_mdv201_hn_2_435_abc63643-1b1, x_63643.2, x_63643_2.2,     0.6614
-1, Load.mdv201_hn_2_435_abc63643-1b1, x_63643_2.2
15, Line.s_mdv201_hn_2_435_abc63643-1b0, x_63643.2, x_63643_1.2,     0.6614
-1, Load.mdv201_hn_2_435_abc63643-1b0, x_63643_1.2
14, Line.mdv201_hn_2_434_abc63645, 63643, 63645,     0.6922
15, Transformer.mdv201_hn_2_434_abc63645-1b, 63645.2, x_63645.2,     0.6922
16, Line.s_mdv201_hn_2_434_abc63645-1b1, x_63645.2, x_63645_2.2,     0.7226
-1, Load.mdv201_hn_2_434_abc63645-1b1, x_63645_2.2
16, Line.s_mdv201_hn_2_434_abc63645-1b0, x_63645.2, x_63645_1.2,     0.7226
-1, Load.mdv201_hn_2_434_abc63645-1b0, x_63645_1.2
15, Line.mdv201_hn_2_408_abc63655, 63645, 63655,     0.7531
16, Transformer.mdv201_hn_2_408_abc63655-1b, 63655.2, x_63655.2,     0.7531
17, Line.s_mdv201_hn_2_408_abc63655-1b1, x_63655.2, x_63655_2.2,     0.7836
-1, Load.mdv201_hn_2_408_abc63655-1b1, x_63655_2.2
17, Line.s_mdv201_hn_2_408_abc63655-1b0, x_63655.2, x_63655_1.2,     0.7836
-1, Load.mdv201_hn_2_408_abc63655-1b0, x_63655_1.2
16, Line.mdv201_hn_2_395_abc63657, 63655, 63657,     0.8223
17, Transformer.mdv201_hn_2_395_abc63657-1b, 63657.2, x_63657.2,     0.8223
18, Line.s_mdv201_hn_2_395_abc63657-1b0, x_63657.2, x_63657_1.2,     0.8528
-1, Load.mdv201_hn_2_395_abc63657-1b0, x_63657_1.2
17, Line.mdv201_hn_2_812_abc63656, 63657, 63656,     0.8695
18, Line.sw-hn_2_812_sw, 63656, mdv201_107107usd_int,     0.8705
19, Line.mdv201_107107usd, mdv201_107107usd_int, 107107,     0.8721
20, Line.mdv201_hn_2_813_abc63654, 107107, 63654,     0.9727
21, Line.mdv201_hn_2_814_abc14891, 63654, 14891,     1.0793
22, Line.mdv201_hn_2_815_abc14892, 14891, 14892,     1.1711
23, Line.mdv201_hn_2_828_abc28247, 14892, 28247,     1.2619
24, Line.mdv201_hn_2_823_abc28244, 28247, 28244,     1.3098
25, Line.mdv201_hn_2_283_abc14857, 28244, 14857,     1.3405
26, Transformer.mdv201_hn_2_283_abc14857-1b, 14857.2, x_14857.2,     1.3405
27, Line.s_mdv201_hn_2_283_abc14857-1b1, x_14857.2, x_14857_2.2,     1.3710
-1, Load.mdv201_hn_2_283_abc14857-1b1, x_14857_2.2
27, Line.s_mdv201_hn_2_283_abc14857-1b0, x_14857.2, x_14857_1.2,     1.3710
-1, Load.mdv201_hn_2_283_abc14857-1b0, x_14857_1.2
26, Line.mdv201_hn_2_963_a14858, 14857.1, 14858.1,     1.3604
27, Line.mdv201_14869fuse, 14858.1, 14869.1,     1.3619
28, Line.mdv201_hn_2_964_a14870, 14869.1, 14870.1,     1.4424
29, Transformer.mdv201_hn_2_964_a14870-1a, 14870.1, x_14870.1,     1.4424
30, Line.s_mdv201_hn_2_964_a14870-1a3, x_14870.1, x_14870_4.1,     1.4728
-1, Load.mdv201_hn_2_964_a14870-1a3, x_14870_4.1
30, Line.s_mdv201_hn_2_964_a14870-1a2, x_14870.1, x_14870_3.1,     1.4728
-1, Load.mdv201_hn_2_964_a14870-1a2, x_14870_3.1
30, Line.s_mdv201_hn_2_964_a14870-1a1, x_14870.1, x_14870_2.1,     1.4728
-1, Load.mdv201_hn_2_964_a14870-1a1, x_14870_2.1
30, Line.s_mdv201_hn_2_964_a14870-1a0, x_14870.1, x_14870_1.1,     1.4728
-1, Load.mdv201_hn_2_964_a14870-1a0, x_14870_1.1
29, Line.mdv201_hn_2_965_a63726, 14870.1, 63726.1,     1.5112
30, Line.mdv201_hn_2_966_a63718, 63726.1, 63718.1,     1.5752
31, Transformer.mdv201_hn_2_966_a63718-1a, 63718.1, x_63718.1,     1.5752
32, Line.s_mdv201_hn_2_966_a63718-1a3, x_63718.1, x_63718_4.1,     1.6057
-1, Load.mdv201_hn_2_966_a63718-1a3, x_63718_4.1
32, Line.s_mdv201_hn_2_966_a63718-1a2, x_63718.1, x_63718_3.1,     1.6057
-1, Load.mdv201_hn_2_966_a63718-1a2, x_63718_3.1
32, Line.s_mdv201_hn_2_966_a63718-1a1, x_63718.1, x_63718_2.1,     1.6057
-1, Load.mdv201_hn_2_966_a63718-1a1, x_63718_2.1
32, Line.s_mdv201_hn_2_966_a63718-1a0, x_63718.1, x_63718_1.1,     1.6057
-1, Load.mdv201_hn_2_966_a63718-1a0, x_63718_1.1
31, Line.mdv201_hn_2_967_a63715, 63718.1, 63715.1,     1.6313
32, Transformer.mdv201_hn_2_967_a63715-1a, 63715.1, x_63715.1,     1.6313
33, Line.s_mdv201_hn_2_967_a63715-1a2, x_63715.1, x_63715_3.1,     1.6618
-1, Load.mdv201_hn_2_967_a63715-1a2, x_63715_3.1
33, Line.s_mdv201_hn_2_967_a63715-1a1, x_63715.1, x_63715_2.1,     1.6618
-1, Load.mdv201_hn_2_967_a63715-1a1, x_63715_2.1
33, Line.s_mdv201_hn_2_967_a63715-1a0, x_63715.1, x_63715_1.1,     1.6618
-1, Load.mdv201_hn_2_967_a63715-1a0, x_63715_1.1
32, Line.mdv201_hn_2_968_a63713, 63715.1, 63713.1,     1.6865
33, Transformer.mdv201_hn_2_968_a63713-1a, 63713.1, x_63713.1,     1.6865
34, Line.s_mdv201_hn_2_968_a63713-1a3, x_63713.1, x_63713_4.1,     1.7170
-1, Load.mdv201_hn_2_968_a63713-1a3, x_63713_4.1
34, Line.s_mdv201_hn_2_968_a63713-1a2, x_63713.1, x_63713_3.1,     1.7170
-1, Load.mdv201_hn_2_968_a63713-1a2, x_63713_3.1
34, Line.s_mdv201_hn_2_968_a63713-1a1, x_63713.1, x_63713_2.1,     1.7170
-1, Load.mdv201_hn_2_968_a63713-1a1, x_63713_2.1
34, Line.s_mdv201_hn_2_968_a63713-1a0, x_63713.1, x_63713_1.1,     1.7170
-1, Load.mdv201_hn_2_968_a63713-1a0, x_63713_1.1
33, Line.mdv201_hn_2_969_a63709, 63713.1, 63709.1,     1.7401
34, Transformer.mdv201_hn_2_969_a63709-1a, 63709.1, x_63709.1,     1.7401
35, Line.s_mdv201_hn_2_969_a63709-1a1, x_63709.1, x_63709_2.1,     1.7706
-1, Load.mdv201_hn_2_969_a63709-1a1, x_63709_2.1
35, Line.s_mdv201_hn_2_969_a63709-1a0, x_63709.1, x_63709_1.1,     1.7706
-1, Load.mdv201_hn_2_969_a63709-1a0, x_63709_1.1
34, Line.mdv201_hn_2_970_a63710, 63709.1, 63710.1,     1.7859
35, Transformer.mdv201_hn_2_970_a63710-1a, 63710.1, x_63710.1,     1.7859
36, Line.s_mdv201_hn_2_970_a63710-1a3, x_63710.1, x_63710_4.1,     1.8163
-1, Load.mdv201_hn_2_970_a63710-1a3, x_63710_4.1
36, Line.s_mdv201_hn_2_970_a63710-1a2, x_63710.1, x_63710_3.1,     1.8163
-1, Load.mdv201_hn_2_970_a63710-1a2, x_63710_3.1
36, Line.s_mdv201_hn_2_970_a63710-1a1, x_63710.1, x_63710_2.1,     1.8163
-1, Load.mdv201_hn_2_970_a63710-1a1, x_63710_2.1
36, Line.s_mdv201_hn_2_970_a63710-1a0, x_63710.1, x_63710_1.1,     1.8163
-1, Load.mdv201_hn_2_970_a63710-1a0, x_63710_1.1
26, Line.mdv201_hn_2_094_abc51012, 14857, 51012,     1.3921
27, Transformer.mdv201_hn_2_094_abc51012-1b, 51012.2, x_51012.2,     1.3921
28, Line.s_mdv201_hn_2_094_abc51012-1b0, x_51012.2, x_51012_1.2,     1.4225
-1, Load.mdv201_hn_2_094_abc51012-1b0, x_51012_1.2
27, Line.mdv201_hn_2_093_abc63714, 51012, 63714,     1.4713
28, Transformer.mdv201_hn_2_093_abc63714-1b, 63714.2, x_63714.2,     1.4713
29, Line.s_mdv201_hn_2_093_abc63714-1b1, x_63714.2, x_63714_2.2,     1.5018
-1, Load.mdv201_hn_2_093_abc63714-1b1, x_63714_2.2
29, Line.s_mdv201_hn_2_093_abc63714-1b0, x_63714.2, x_63714_1.2,     1.5018
-1, Load.mdv201_hn_2_093_abc63714-1b0, x_63714_1.2
28, Line.mdv201_hn_2_092_abc63711, 63714, 63711,     1.5765
29, Transformer.mdv201_hn_2_092_abc63711-1b, 63711.2, x_63711.2,     1.5765
30, Line.s_mdv201_hn_2_092_abc63711-1b1, x_63711.2, x_63711_2.2,     1.6069
-1, Load.mdv201_hn_2_092_abc63711-1b1, x_63711_2.2
30, Line.s_mdv201_hn_2_092_abc63711-1b0, x_63711.2, x_63711_1.2,     1.6069
-1, Load.mdv201_hn_2_092_abc63711-1b0, x_63711_1.2
29, Line.mdv201_hn_2_247_abc44582, 63711, 44582,     1.6197
30, Transformer.mdv201_hn_2_247_abc44582-1b, 44582.2, x_44582.2,     1.6197
31, Line.s_mdv201_hn_2_247_abc44582-1b1, x_44582.2, x_44582_2.2,     1.6502
-1, Load.mdv201_hn_2_247_abc44582-1b1, x_44582_2.2
31, Line.s_mdv201_hn_2_247_abc44582-1b0, x_44582.2, x_44582_1.2,     1.6502
-1, Load.mdv201_hn_2_247_abc44582-1b0, x_44582_1.2
30, Line.mdv201_hn_2_217_abc8160, 44582, 8160,     1.6457
31, Line.mdv201_104356fuse, 8160.3, 104356.3,     1.6472
